sample,quality,length,counts
BC_SRSLY_S1,Qgxy,0,0
BC_SRSLY_S1,Qgxy,5,0
BC_SRSLY_S1,Qgxy,10,0
BC_SRSLY_S1,Qgxy,15,157
BC_SRSLY_S1,Qgxy,20,735
BC_SRSLY_S1,Qgxy,25,909
BC_SRSLY_S1,Qgxy,30,755852
BC_SRSLY_S1,Qgxy,35,679457
BC_SRSLY_S1,Qgxy,40,684868
BC_SRSLY_S1,Qgxy,45,675484
BC_SRSLY_S1,Qgxy,50,782544
BC_SRSLY_S1,Qgxy,55,864798
BC_SRSLY_S1,Qgxy,60,939962
BC_SRSLY_S1,Qgxy,65,1039768
BC_SRSLY_S1,Qgxy,70,1045115
BC_SRSLY_S1,Qgxy,75,984256
BC_SRSLY_S1,Qgxy,80,1214565
BC_SRSLY_S1,Qgxy,85,1084273
BC_SRSLY_S1,Qgxy,90,1377854
BC_SRSLY_S1,Qgxy,95,2604459
BC_SRSLY_S1,Qgxy,100,2552168
BC_SRSLY_S1,Qgxy,105,1998619
BC_SRSLY_S1,Qgxy,110,988319
BC_SRSLY_S1,Qgxy,115,783244
BC_SRSLY_S1,Qgxy,120,763818
BC_SRSLY_S1,Qgxy,125,743759
BC_SRSLY_S1,Qgxy,130,721182
BC_SRSLY_S1,Qgxy,135,778727
BC_SRSLY_S1,Qgxy,140,828012
BC_SRSLY_S1,Qgxy,145,599832
BC_SRSLY_S1,Qgxy,150,15210099
BCS_SRSLY_S9,Qgxy,0,0
BCS_SRSLY_S9,Qgxy,5,0
BCS_SRSLY_S9,Qgxy,10,0
BCS_SRSLY_S9,Qgxy,15,38
BCS_SRSLY_S9,Qgxy,20,172
BCS_SRSLY_S9,Qgxy,25,212
BCS_SRSLY_S9,Qgxy,30,64382
BCS_SRSLY_S9,Qgxy,35,68070
BCS_SRSLY_S9,Qgxy,40,77774
BCS_SRSLY_S9,Qgxy,45,82912
BCS_SRSLY_S9,Qgxy,50,87970
BCS_SRSLY_S9,Qgxy,55,89950
BCS_SRSLY_S9,Qgxy,60,92340
BCS_SRSLY_S9,Qgxy,65,96837
BCS_SRSLY_S9,Qgxy,70,158298
BCS_SRSLY_S9,Qgxy,75,173465
BCS_SRSLY_S9,Qgxy,80,282018
BCS_SRSLY_S9,Qgxy,85,130755
BCS_SRSLY_S9,Qgxy,90,149327
BCS_SRSLY_S9,Qgxy,95,256883
BCS_SRSLY_S9,Qgxy,100,268657
BCS_SRSLY_S9,Qgxy,105,157736
BCS_SRSLY_S9,Qgxy,110,61067
BCS_SRSLY_S9,Qgxy,115,44069
BCS_SRSLY_S9,Qgxy,120,42092
BCS_SRSLY_S9,Qgxy,125,40937
BCS_SRSLY_S9,Qgxy,130,41235
BCS_SRSLY_S9,Qgxy,135,75379
BCS_SRSLY_S9,Qgxy,140,76820
BCS_SRSLY_S9,Qgxy,145,21829
BCS_SRSLY_S9,Qgxy,150,550044
